City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bara,NG,86.23,overcast clouds,10.3744,10.7288,
10,Hithadhoo,MV,84.4,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
15,Rikitea,PF,77.05,clear sky,-23.1203,-134.9692,People ThankYou
18,Maymyo,MM,77.5,overcast clouds,22.0333,96.4667,Tiger Hotel
23,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Phonhong,LA,73.99,overcast clouds,18.5007,102.4166,Manyvong Guest House
26,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
28,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Ponta Do Sol,PT,70.0,scattered clouds,32.6667,-17.1,Hotel do Campo
41,Kloulklubed,PW,84.7,clear sky,7.0419,134.2556,Storyboard Beach Resort
44,Aloleng,PH,82.56,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
49,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
53,Labuhan,ID,85.24,overcast clouds,-6.8844,112.2051,DoubleFAG
54,Miraflores,MX,70.03,clear sky,19.2167,-98.8083,Hotel Mansión
55,Carnarvon,AU,73.45,clear sky,-24.8667,113.6333,Hospitality Carnarvon
56,Saint-Paul,RE,71.69,scattered clouds,-21.0096,55.2707,Boucan Canot
61,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
65,Cayenne,GF,79.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
66,Cabo San Lucas,MX,81.7,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
70,Mangan,IN,77.47,overcast clouds,27.5167,88.5333,Hotel Mout View
74,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Kabo,CF,74.1,broken clouds,7.6994,18.629,
77,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,Chaohu,CN,78.44,clear sky,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
84,Butaritari,KI,83.32,broken clouds,3.0707,172.7902,Isles Sunset Lodge
87,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Dwarka,IN,83.88,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
95,Fatwa,IN,89.69,broken clouds,25.5167,85.3167,Raunak Marriage Hall
97,Vanimo,PG,85.15,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
98,Wamba,NG,74.28,light rain,8.9333,8.6,Roma Zee Guest House Annex
107,Villa Rica,US,73.0,clear sky,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
111,Merauke,ID,82.31,scattered clouds,-8.4667,140.3333,
118,Amahai,ID,85.93,few clouds,-3.3333,128.9167,HOTEL ISABELA
122,Dongying,CN,87.69,scattered clouds,37.4564,118.4856,Wanda Realm
124,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
125,Manicore,BR,76.95,scattered clouds,-5.8092,-61.3003,Hotel Durval
126,Kavaratti,IN,80.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
128,Ixtapa,MX,78.03,few clouds,20.7,-105.2,hotel la terminal
130,Cape Coast,GH,79.07,light rain,5.1053,-1.2466,Samrit Hotel
131,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
134,Manokwari,ID,84.43,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
137,Loreto,MX,72.41,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
141,Amapa,BR,73.31,overcast clouds,1.0,-52.0,
142,Airai,TL,76.64,few clouds,-8.9266,125.4092,
143,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
146,Morgan City,US,77.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
149,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
151,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
152,Cockburn Town,TC,79.09,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
153,Bubaque,GW,79.05,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
157,Kawalu,ID,86.27,scattered clouds,-7.3817,108.2082,West Jontor
159,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
161,Alofi,NU,78.69,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
162,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
