City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Camacha,PT,33.0833,-16.3333,63.82,88,40,5.75,scattered clouds
1,Cherskiy,RU,68.75,161.3,47.19,71,100,10.94,overcast clouds
2,Saldanha,ZA,-33.0117,17.9442,60.96,77,54,4.23,broken clouds
3,San Lorenzo,PY,-25.3333,-57.5333,49.59,76,0,0.0,clear sky
4,Bara,NG,10.3744,10.7288,86.23,49,100,10.65,overcast clouds
5,Srednekolymsk,RU,67.45,153.6833,49.51,61,22,5.68,few clouds
6,Lebu,CL,-37.6167,-73.65,51.93,72,67,3.98,broken clouds
7,Albany,US,42.6001,-73.9662,58.39,82,47,1.01,scattered clouds
8,Dikson,RU,73.5069,80.5464,33.12,100,100,3.98,snow
9,Bredasdorp,ZA,-34.5322,20.0403,61.39,35,95,4.43,overcast clouds
10,Hithadhoo,MV,-0.6,73.0833,84.4,73,100,17.0,overcast clouds
11,Hobart,AU,-42.8794,147.3294,57.25,60,75,18.41,broken clouds
12,Ostrovnoy,RU,68.0531,39.5131,36.36,89,100,18.88,overcast clouds
13,Georgetown,MY,5.4112,100.3354,87.73,72,20,3.44,few clouds
14,Barrow,US,71.2906,-156.7887,17.62,73,100,10.36,light snow
15,Rikitea,PF,-23.1203,-134.9692,77.05,76,1,16.69,clear sky
16,Ribeira Grande,PT,38.5167,-28.7,58.12,65,57,24.36,broken clouds
17,Asfi,MA,32.2994,-9.2372,64.58,82,0,11.83,clear sky
18,Maymyo,MM,22.0333,96.4667,77.5,71,96,4.29,overcast clouds
19,Busselton,AU,-33.65,115.3333,66.36,52,56,13.0,broken clouds
20,Altea,ES,38.5989,-0.0514,67.64,87,3,1.01,clear sky
21,San Quintin,MX,30.4833,-115.95,60.12,88,8,10.78,clear sky
22,Severo-Kurilsk,RU,50.6789,156.125,43.03,79,20,6.71,few clouds
23,Vaini,TO,-21.2,-175.2,77.16,65,20,10.36,few clouds
24,Phonhong,LA,18.5007,102.4166,73.99,93,100,3.0,overcast clouds
25,Mataura,NZ,-46.1927,168.8643,54.48,84,100,5.32,overcast clouds
26,San Cristobal,VE,7.7669,-72.225,77.18,91,99,3.2,overcast clouds
27,Lakes Entrance,AU,-37.8811,147.981,62.17,43,11,16.06,few clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,40,4.32,scattered clouds
29,Jamestown,US,42.097,-79.2353,50.02,86,0,8.05,clear sky
30,Skibbereen,IE,51.55,-9.2667,57.11,86,92,20.15,overcast clouds
31,Ponta Do Sol,PT,32.6667,-17.1,70.0,87,31,5.77,scattered clouds
32,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,4.61,broken clouds
33,Provideniya,RU,64.3833,-173.3,33.91,80,0,6.71,clear sky
34,Svetlogorsk,BY,52.6333,29.7333,41.79,87,51,4.97,broken clouds
35,Upernavik,GL,72.7868,-56.1549,8.55,94,23,7.47,few clouds
36,Qaanaaq,GL,77.484,-69.3632,16.61,73,50,6.31,scattered clouds
37,Memari,IN,23.2,88.1167,92.86,51,62,17.47,broken clouds
38,Nikolskoye,RU,59.7035,30.7861,45.88,93,100,5.66,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,13.8,overcast clouds
40,Sorland,NO,67.667,12.6934,39.06,59,94,3.53,overcast clouds
41,Kloulklubed,PW,7.0419,134.2556,84.7,74,9,13.58,clear sky
42,Tiksi,RU,71.6872,128.8694,27.18,93,100,15.41,light snow
43,Domna,RU,51.8971,113.1573,66.36,14,15,8.95,few clouds
44,Aloleng,PH,16.1307,119.7824,82.56,72,100,4.81,overcast clouds
45,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,82,13.73,light rain
46,Yellowknife,CA,62.456,-114.3525,52.32,37,75,11.5,broken clouds
47,Bjornevatn,NO,69.6672,29.9847,35.22,75,75,12.66,broken clouds
48,Havoysund,NO,70.9963,24.6622,36.23,69,100,24.83,light rain
49,Avarua,CK,-21.2078,-159.775,82.45,69,20,2.3,few clouds
50,Itoman,JP,26.1247,127.6694,68.77,96,75,14.97,light rain
51,Hermanus,ZA,-34.4187,19.2345,63.82,61,62,3.18,broken clouds
52,Rawson,AR,-43.3002,-65.1023,47.07,78,0,12.59,clear sky
53,Labuhan,ID,-6.8844,112.2051,85.24,70,100,2.73,overcast clouds
54,Miraflores,MX,19.2167,-98.8083,70.03,27,4,3.89,clear sky
55,Carnarvon,AU,-24.8667,113.6333,73.45,52,0,5.17,clear sky
56,Saint-Paul,RE,-21.0096,55.2707,71.69,81,33,3.0,scattered clouds
57,Nanortalik,GL,60.1432,-45.2371,37.67,83,92,3.98,overcast clouds
58,Esperance,AU,-33.8667,121.9,67.24,50,0,11.23,clear sky
59,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,5.41,overcast clouds
60,Colares,PT,38.7992,-9.4469,66.33,82,14,17.0,few clouds
61,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,10.36,light rain
62,Westervoort,NL,51.9558,5.9722,59.11,98,100,2.3,overcast clouds
63,Osa,RU,57.2829,55.4567,47.64,92,100,11.65,light rain
64,Necochea,AR,-38.5473,-58.7368,52.59,83,100,23.51,overcast clouds
65,Cayenne,GF,4.9333,-52.3333,79.09,1,75,11.01,moderate rain
66,Cabo San Lucas,MX,22.8909,-109.9124,81.7,75,91,4.0,overcast clouds
67,Arman,RU,59.7,150.1667,41.02,99,100,2.86,light rain
68,Deputatskiy,RU,69.3,139.9,27.61,91,58,1.36,broken clouds
69,Pisco,PE,-13.7,-76.2167,62.02,82,18,3.44,mist
70,Mangan,IN,27.5167,88.5333,77.47,76,85,1.3,overcast clouds
71,Vostok,RU,46.4856,135.8833,59.67,32,31,7.2,scattered clouds
72,Half Moon Bay,US,37.4636,-122.4286,61.05,79,75,13.8,mist
73,Ushuaia,AR,-54.8,-68.3,40.66,87,75,3.44,light rain
74,Mahebourg,MU,-20.4081,57.7,73.69,73,40,10.36,scattered clouds
75,Cape Town,ZA,-33.9258,18.4232,65.88,58,0,10.36,clear sky
76,Kabo,CF,7.6994,18.629,74.1,75,60,3.67,broken clouds
77,Hilo,US,19.7297,-155.09,78.28,93,100,6.91,overcast clouds
78,Saint-Francois,FR,46.4154,3.9054,57.67,100,74,0.0,broken clouds
79,Chaohu,CN,31.6,117.8667,78.44,37,0,9.69,clear sky
80,Nome,US,64.5011,-165.4064,43.16,64,0,10.36,clear sky
